2014-01,1,2528864088.148667,2528864087.9810815,0.9986362800598144
2014-01,2,1872452459.927911,1872452459.7585537,1.0043967485427856
2014-01,3,1798354295.8137608,1798354295.6303449,1.0029384756088258
2014-01,4,2075229121.4669309,2075229121.2755947,0.9990823297500611
2014-01,5,2556223020.6057277,2556223020.429342,1.000191656112671
2014-01,6,1803900160.9048626,1803900160.7203045,1.0014380736351014
2014-01,7,1904414236.6791115,1904414236.5117493,0.9938190069198608
2014-02,1,2113734836.733023,2113734836.549622,0.9996428260803223
2014-02,2,2459012800.749986,2459012800.5666084,0.9953631720542908
2014-02,3,1904619119.5375707,1904619119.3613358,0.9978068261146545
2014-02,4,2584523342.5284348,2584523342.368929,0.9982400026321411
2014-03,1,2256035472.3882093,2256035472.2188125,1.0021021590232848
2014-03,2,1941546745.3858504,1941546745.2096362,0.9938506073951722
2014-03,3,2933804499.581498,2933804499.399454,0.9900477075576782
2014-03,4,2438184609.3816795,2438184609.197946,0.9913541693687439
2014-04,1,2189840377.077169,2189840376.8695526,0.9947207202911377
2014-04,2,2155896735.407903,2155896735.2325096,0.9920395970344543
2014-04,3,2240440574.7992845,2240440574.6317854,0.9904852104187012
2014-04,4,1914540909.1039321,1914540908.9293056,0.9897778568267822
2014-05,1,1896863206.1374307,1896863205.9866896,0.9917195324897766
2014-05,2,2667383963.952897,2667383963.7617927,0.9933890137672424
2014-05,3,2424200245.4010673,2424200245.217287,0.98498007106781
2014-05,4,2247948152.8095117,2247948152.6516976,0.9882427310943603
2014-06,1,2115032269.0041163,2115032268.8381736,0.982885808467865
2014-06,2,2118698694.8810372,2118698694.7153635,0.9828210973739624
2014-06,3,1904736130.487211,1904736130.3145807,0.9838544597625732
2014-06,4,2275207112.7674065,2275207112.585335,0.9803909449577332
2014-07,1,2365866688.2604485,2365866688.085969,0.984179063796997
2014-07,2,2168776039.641942,2168776039.475388,0.980826250076294
2014-07,3,1950090458.2616873,1950090458.110095,0.9856810278892517
2014-07,4,2117273513.484715,2117273513.3116484,0.9754913125038147
2014-08,1,2260566332.6952496,2260566332.532185,0.9709039916992187
2014-08,2,2413274648.4076834,2413274648.226437,0.9746301946640015
2014-08,3,2317423368.0062184,2317423367.826454,0.9753322825431824
2014-08,4,2329397940.717493,2329397940.5622177,0.9745855326652527
2014-09,1,1770012936.512559,1770012936.3481448,0.9749144554138184
2014-09,2,1920780300.4857225,1920780300.3128269,0.9757700877189637
2014-09,3,2164535629.621558,2164535629.4571176,0.9712424411773681
2014-09,4,2037730301.4049823,2037730301.2361372,0.9582989015579224
2014-09,5,1987454207.002537,1987454206.839407,0.9656120643615723
2014-10,1,2394931459.077734,2394931458.9133534,0.9586064038276673
2014-10,2,2668167129.7129803,2668167129.541672,0.9576458487510681
2014-10,3,2593148076.8382807,2593148076.7049603,0.9619446387290954
2014-10,4,1862316237.5577257,1862316237.3892734,0.9580371699333191
2014-11,1,1985586852.0932178,1985586851.9364843,0.9604562511444091
2014-11,2,2074284573.1279519,2074284572.9668822,0.9561625633239746
2014-11,3,2499136577.2139945,2499136577.060804,0.9515085544586181
2014-11,4,2123465650.1620708,2123465650.0168014,0.9434208202362061
2014-12,1,1971704381.6305425,1971704381.4969344,0.9533024735450745
2014-12,2,2513827909.581053,2513827909.435287,0.9605042324066162
2014-12,3,2184085051.6534142,2184085051.5069222,0.9578420901298523
2014-12,4,2192546849.5389776,2192546849.3772154,0.950704288482666
2015-01,1,1625439072.026375,1625439071.9593596,0.9444375007580488
2015-01,2,1779704175.977665,1779704175.9050984,0.9398662715386121
2015-01,3,1575294166.2035816,1575294166.1325758,0.9428689900117043
2015-01,4,1884707599.1001155,1884707599.0275378,0.9435693797392722
2015-01,5,1411389600.0453377,1411389599.9722352,0.9480365717258209
2015-01,6,1415566120.7785976,1415566120.7120802,0.9447987094903604
2015-01,7,1263629424.1894813,1263629424.1159623,0.9412578722605338
2015-01,8,1490787083.279446,1490787083.2193685,0.9363871893057456
2015-01,9,1420278239.7857747,1420278239.714571,0.9338706013483878
2015-01,10,1419035342.1913414,1419035342.119263,0.9323354550661185
2015-01,11,1413776268.0628474,1413776267.9919145,0.9405432305274866
2015-02,1,1392662003.3664942,1392662003.3055007,0.9402001481025647
2015-02,2,1713328241.7557487,1713328241.6887376,0.933817296456068
2015-02,3,1432700115.8696241,1432700115.7979808,0.9233551002465762
2015-02,4,1272170116.0691323,1272170115.9962673,0.9240013154653403
2015-03,1,1689470812.6748195,1689470812.6092718,0.9125127861132989
2015-03,2,2035550131.6708543,2035550131.6103773,0.9233358873006625
2015-03,3,1430326603.4898531,1430326603.4249134,0.9093596587578455
2015-03,4,1289894983.084035,1289894983.0124643,0.9151670164786853
2015-04,1,1656081262.5516827,1656081262.4814713,0.9173511186471353
2015-04,2,1430205404.2837443,1430205404.215339,0.9118185757826536
2015-04,3,1475894313.1730072,1475894313.1127453,0.9283716621307226
2015-04,4,1641215864.3645678,1641215864.2903743,0.9569480338921914
2015-05,1,1597858344.4625401,1597858344.3950887,0.9392776519824297
2015-05,2,1449049773.0199504,1449049772.9487147,0.9290054306769983
2015-05,3,1615164730.3106353,1615164730.2450256,0.9259886455077392
2015-05,4,1451699404.282204,1451699404.2161798,0.9286129753559064
2015-06,1,1482399185.7790074,1482399185.7071717,0.9142800069008118
2015-06,2,1518851675.138805,1518851675.069269,0.9102024088303248
2015-06,3,1706478186.0602186,1706478185.9893281,0.9116683720778196
2015-06,4,1451112280.3454792,1451112280.2752314,0.9031837972310873
